id_municipio,idhm,idhm_educacao,idhm_renda,idhm_longevidade,pib_per_capita,indice_gini,taxa_abandono_fundamental,populacao_estimada,porte_municipio
3302403,0.79,0.731,0.794,0.845,57221.9,0.461,0.66,2083,Pequeno I (< 20k)
3147907,0.828,0.773,0.828,0.883,41326.34,0.473,0.75,6481,Pequeno I (< 20k)
3137205,0.811,0.754,0.812,0.866,40790.86,0.554,0.44,40782,Pequeno II (20k - 50k)
4204806,0.738,0.675,0.745,0.793,32061.31,0.442,1.12,13246,Pequeno I (< 20k)
3124807,0.731,0.667,0.741,0.786,86739.24,0.505,1.67,19288,Pequeno I (< 20k)
1505908,0.703,0.625,0.685,0.8,9797.83,0.542,1.65,7088,Pequeno I (< 20k)
2922409,0.648,0.574,0.622,0.749,19149.95,0.517,2.58,16780,Pequeno I (< 20k)
3131307,0.814,0.758,0.815,0.869,44844.51,0.54,1.8,20225,Pequeno II (20k - 50k)
3107802,0.834,0.78,0.833,0.889,41066.87,0.542,0.85,1680,Pequeno I (< 20k)
2305001,0.65,0.576,0.624,0.751,26954.47,0.555,2.04,7367,Pequeno I (< 20k)
3136702,0.743,0.679,0.751,0.798,46214.05,0.473,1.95,23378,Pequeno II (20k - 50k)
3147006,0.755,0.692,0.762,0.81,42630.99,0.503,0.58,102240,Grande (100k - 500k)
3155405,0.78,0.72,0.784,0.835,83711.99,0.528,0.64,3230,Pequeno I (< 20k)
2932606,0.602,0.523,0.58,0.703,22124.07,0.502,1.9,5957,Pequeno I (< 20k)
2306504,0.658,0.584,0.63,0.759,16728.85,0.573,2.67,23326,Pequeno II (20k - 50k)
2309706,0.658,0.585,0.631,0.759,14133.27,0.593,2.83,3683,Pequeno I (< 20k)
3304557,0.785,0.726,0.789,0.84,74159.51,0.517,1.7,64598,Médio (50k - 100k)
1300102,0.671,0.59,0.656,0.768,24621.57,0.521,3.76,5459,Pequeno I (< 20k)
3118601,0.739,0.675,0.748,0.794,60280.89,0.566,1.57,3953,Pequeno I (< 20k)
3167202,0.751,0.689,0.759,0.806,73817.22,0.503,0.56,5660,Pequeno I (< 20k)
2910057,0.651,0.577,0.624,0.752,29832.19,0.498,1.78,52935,Médio (50k - 100k)
5218805,0.782,0.723,0.788,0.836,50989.65,0.497,2.04,24863,Pequeno II (20k - 50k)
3130556,0.796,0.737,0.799,0.851,31815.16,0.497,0.91,3690,Pequeno I (< 20k)
4317806,0.867,0.817,0.862,0.92,50494.17,0.478,2.16,6830,Pequeno I (< 20k)
3170206,0.78,0.72,0.785,0.835,48786.39,0.503,0.82,4135,Pequeno I (< 20k)
2300101,0.689,0.619,0.658,0.79,23849.97,0.546,3.01,4884,Pequeno I (< 20k)
3154606,0.826,0.771,0.826,0.881,47077.49,0.571,0.69,68103,Médio (50k - 100k)
1507953,0.705,0.626,0.686,0.802,40507.81,0.567,2.06,11833,Pequeno I (< 20k)
5210406,0.76,0.698,0.768,0.814,34090.52,0.461,1.15,18751,Pequeno I (< 20k)
3146305,0.754,0.692,0.762,0.809,50984.27,0.49,1.22,45694,Pequeno II (20k - 50k)
1501402,0.626,0.54,0.615,0.723,24259.35,0.537,2.95,12160,Pequeno I (< 20k)
4127700,0.77,0.711,0.774,0.825,99876.03,0.433,0.83,10038,Pequeno I (< 20k)
3162104,0.757,0.695,0.763,0.812,33299.7,0.499,1.62,15245,Pequeno I (< 20k)
4119152,0.857,0.807,0.853,0.912,57216.33,0.452,2.24,4025,Pequeno I (< 20k)
4205407,0.731,0.668,0.739,0.786,26345.24,0.504,0.97,55354,Médio (50k - 100k)
3107307,0.748,0.685,0.756,0.803,23843.35,0.482,0.74,18280,Pequeno I (< 20k)
1301902,0.625,0.539,0.615,0.722,30967.01,0.473,3.31,35394,Pequeno II (20k - 50k)
4314902,0.761,0.701,0.766,0.816,33536.19,0.473,2.12,44129,Pequeno II (20k - 50k)
3123007,0.82,0.764,0.821,0.875,47326.1,0.485,1.02,4209,Pequeno I (< 20k)
2702306,0.632,0.556,0.607,0.733,14905.66,0.545,3.32,45777,Pequeno II (20k - 50k)
4124020,0.785,0.727,0.788,0.84,61634.66,0.404,0.88,31632,Pequeno II (20k - 50k)
2914604,0.662,0.589,0.634,0.763,24774.86,0.59,2.27,7121,Pequeno I (< 20k)
2922805,0.666,0.593,0.637,0.767,12442.69,0.526,2.16,19039,Pequeno I (< 20k)
2314102,0.671,0.599,0.642,0.772,17805.01,0.552,3.12,2012,Pequeno I (< 20k)
2920908,0.643,0.568,0.617,0.744,22711.47,0.561,2.76,14568,Pequeno I (< 20k)
2911907,0.676,0.604,0.646,0.777,21678.88,0.543,2.28,527431,Metrópole (> 500k)
1501709,0.632,0.547,0.621,0.729,27789.01,0.539,2.89,46093,Pequeno II (20k - 50k)
4206108,0.757,0.696,0.762,0.812,64854.9,0.504,0.99,2677,Pequeno I (< 20k)
2927408,0.654,0.58,0.627,0.755,43609.19,0.553,3.05,42069,Pequeno II (20k - 50k)
2905800,0.626,0.549,0.602,0.727,16767.36,0.527,2.4,12596,Pequeno I (< 20k)
5201405,0.795,0.737,0.799,0.849,49256.36,0.512,2.59,30565,Pequeno II (20k - 50k)
2608800,0.564,0.481,0.546,0.665,17477.26,0.501,4.3,15718,Pequeno I (< 20k)
1503309,0.577,0.486,0.571,0.674,17172.55,0.536,2.4,5990,Pequeno I (< 20k)
3203056,0.827,0.772,0.827,0.882,63462.22,0.518,0.96,31111,Pequeno II (20k - 50k)
5218789,0.83,0.775,0.831,0.884,59309.86,0.5,1.87,29420,Pequeno II (20k - 50k)
3147105,0.776,0.716,0.781,0.831,81881.1,0.536,0.97,20724,Pequeno II (20k - 50k)
2909703,0.642,0.567,0.617,0.743,34580.32,0.588,3.62,10152,Pequeno I (< 20k)
4314308,0.815,0.76,0.814,0.87,35405.42,0.451,1.06,4802,Pequeno I (< 20k)
3125606,0.741,0.677,0.749,0.796,37901.7,0.518,2.02,10504,Pequeno I (< 20k)
3143302,0.755,0.693,0.762,0.81,48159.58,0.524,1.67,14764,Pequeno I (< 20k)
1302603,0.657,0.574,0.643,0.754,27886.49,0.558,1.83,12682,Pequeno I (< 20k)
4202909,0.735,0.672,0.743,0.79,41317.74,0.514,1.61,5670,Pequeno I (< 20k)
4123907,0.876,0.827,0.87,0.92,42882.22,0.497,1.11,17904,Pequeno I (< 20k)
2207702,0.685,0.614,0.654,0.786,11203.75,0.531,2.03,9433,Pequeno I (< 20k)
4316907,0.807,0.751,0.808,0.862,42029.82,0.517,1.26,5573,Pequeno I (< 20k)
4113700,0.839,0.787,0.837,0.894,75856.44,0.454,0.42,18060,Pequeno I (< 20k)
3205101,0.799,0.742,0.802,0.854,71999.1,0.48,0.83,19476,Pequeno I (< 20k)
2704302,0.692,0.622,0.662,0.793,19862.52,0.54,2.63,2005,Pequeno I (< 20k)
4205001,0.738,0.676,0.746,0.793,27157.27,0.462,1.78,3515,Pequeno I (< 20k)
2922003,0.65,0.575,0.623,0.751,12690.4,0.521,2.17,4679,Pequeno I (< 20k)
3134905,0.684,0.615,0.698,0.739,58331.44,0.508,1.24,47210,Pequeno II (20k - 50k)
3152501,0.785,0.726,0.789,0.84,52511.67,0.535,0.55,4690,Pequeno I (< 20k)
2205201,0.68,0.608,0.65,0.781,21715.42,0.513,2.56,20377,Pequeno II (20k - 50k)
3157807,0.81,0.753,0.811,0.865,53320.61,0.482,0.25,3258,Pequeno I (< 20k)
4127007,0.757,0.697,0.763,0.812,54007.86,0.511,0.88,10964,Pequeno I (< 20k)
2707701,0.736,0.67,0.701,0.837,10982.75,0.559,3.48,14115,Pequeno I (< 20k)
2903003,0.656,0.582,0.628,0.757,26414.35,0.57,2.72,79413,Médio (50k - 100k)
2905701,0.656,0.582,0.629,0.757,26880.96,0.593,1.8,27250,Pequeno II (20k - 50k)
2206050,0.689,0.618,0.658,0.79,17486.52,0.493,1.32,6423,Pequeno I (< 20k)
3122306,0.782,0.722,0.786,0.837,46191.14,0.471,1.66,13108,Pequeno I (< 20k)
1600303,0.659,0.576,0.644,0.756,24828.99,0.508,2.66,32320,Pequeno II (20k - 50k)
3304151,0.827,0.772,0.827,0.882,22041.72,0.525,0.71,2289,Pequeno I (< 20k)
3120904,0.767,0.706,0.773,0.822,58999.82,0.496,0.9,11279,Pequeno I (< 20k)
3106200,0.698,0.63,0.71,0.753,79364.08,0.522,1.76,2825,Pequeno I (< 20k)
2928000,0.633,0.557,0.608,0.734,42198.48,0.549,3.03,6579,Pequeno I (< 20k)
2923100,0.763,0.7,0.725,0.864,21351.72,0.573,2.63,31248,Pequeno II (20k - 50k)
2103802,0.695,0.625,0.663,0.796,34339.86,0.551,1.56,3011,Pequeno I (< 20k)
3143906,0.716,0.65,0.727,0.771,59143.74,0.471,1.82,2291,Pequeno I (< 20k)
4109401,0.78,0.722,0.784,0.835,35215.04,0.413,0.9,4405,Pequeno I (< 20k)
4107850,0.779,0.72,0.782,0.834,77690.51,0.487,1.46,14100,Pequeno I (< 20k)
3205200,0.758,0.697,0.765,0.813,41436.56,0.476,0.7,5368,Pequeno I (< 20k)
2924603,0.67,0.597,0.641,0.771,20506.93,0.543,2.75,12051,Pequeno I (< 20k)
4108403,0.706,0.64,0.716,0.761,57640.08,0.479,0.35,17828,Pequeno I (< 20k)
1716208,0.662,0.58,0.648,0.759,21707.04,0.537,2.46,172551,Grande (100k - 500k)
1505502,0.688,0.608,0.671,0.785,16765.45,0.555,3.03,91531,Médio (50k - 100k)
2106508,0.642,0.567,0.616,0.743,25713.1,0.581,3.16,33680,Pequeno II (20k - 50k)
2100477,0.676,0.605,0.647,0.777,20875.79,0.574,2.01,13130,Pequeno I (< 20k)
2508604,0.637,0.562,0.612,0.738,30640.59,0.555,2.86,1500,Pequeno I (< 20k)
2930808,0.659,0.586,0.632,0.76,26861.61,0.542,2.45,31031,Pequeno II (20k - 50k)
4104303,0.825,0.771,0.824,0.88,35085.66,0.533,1.27,118024,Grande (100k - 500k)
1304203,0.677,0.596,0.661,0.774,25409.98,0.516,3.07,1831,Pequeno I (< 20k)
3110509,0.787,0.728,0.791,0.842,35724.07,0.506,1.32,4025,Pequeno I (< 20k)
2306405,0.697,0.627,0.665,0.798,38377.84,0.545,3.4,7400,Pequeno I (< 20k)
2304707,0.753,0.689,0.716,0.854,17709.85,0.518,2.43,47196,Pequeno II (20k - 50k)
3306305,0.752,0.69,0.759,0.807,88974.93,0.484,0.44,6793,Pequeno I (< 20k)
2112852,0.713,0.644,0.68,0.814,15132.15,0.578,1.94,21590,Pequeno II (20k - 50k)
4117107,0.791,0.734,0.793,0.846,46425.91,0.487,0.73,23802,Pequeno II (20k - 50k)
5219753,0.758,0.696,0.766,0.812,32779.9,0.504,2.85,23876,Pequeno II (20k - 50k)
2104800,0.743,0.679,0.707,0.844,19886.25,0.521,2.88,12769,Pequeno I (< 20k)
3301702,0.807,0.75,0.809,0.862,43476.53,0.524,0.44,1855,Pequeno I (< 20k)
