ano,id_municipio,id_escola,id_aluno,caderno,serie,rede,presenca,preenchimento_caderno,alfabetizado,proficiencia,peso_aluno
2023,2408102,60010392,24005396,1,2,3,0,0,0,,
2023,2500700,60010553,25034959,1,2,3,0,0,0,,
2023,3301900,60024579,33033332,1,2,3,0,0,0,,
2023,4106902,60034003,41049443,1,2,3,0,0,0,,
2024,2105302,60005799,21067439,1,2,3,0,0,0,,
2024,3106200,60018137,31121923,1,2,3,0,0,0,,
2024,3134509,60021767,31047050,1,2,3,0,0,0,,
2024,4118204,60034181,41041142,1,2,3,0,0,0,,
2024,5212303,60041241,52053153,1,2,3,1,0,0,,
2023,1302603,60000672,13025864,1,2,3,0,0,0,,
2023,1505809,60003254,15077105,1,2,3,0,0,0,,
2023,2206803,60007178,22034188,1,2,3,0,0,0,,
2023,2607901,60013331,26045746,1,2,3,0,0,0,,
2023,2928802,60015671,29078643,1,2,3,0,0,0,,
2023,3305406,60023794,33149745,1,2,3,0,0,0,,
2024,2408102,60010108,24004066,1,2,3,0,0,0,,
2024,2927408,60017416,29215858,1,2,3,0,0,0,,
2024,3111101,60019983,31182605,1,2,3,0,0,0,,
2024,3511300,60028729,35180614,1,2,3,0,0,0,,
2024,5003157,60039881,50034270,1,2,3,0,0,0,,
2024,5217609,60041390,52075507,1,2,3,0,0,0,,
2023,1303809,60001084,13056668,1,2,3,0,0,0,,
2023,1302603,60001352,13029436,1,2,3,0,0,0,,
2023,1502103,60002175,15034062,1,2,3,0,0,0,,
2023,2506004,60010879,25025008,1,2,3,0,0,0,,
2023,3170206,60021265,31148542,1,2,3,0,0,0,,
2023,3302700,60026103,33050449,1,2,3,0,0,0,,
2024,1600303,60003749,16003093,1,2,3,0,0,0,,
2024,1718204,60004232,17016542,1,2,3,0,0,0,,
2024,2921450,60016567,29153986,1,2,3,0,0,0,,
2024,3108255,60018870,31000064,1,2,2,0,0,0,,
2023,2307650,60008213,23026964,1,2,3,0,0,0,,
2023,2927408,60016312,29109594,1,2,3,0,0,0,,
2023,2925758,60017034,29137474,1,2,3,0,0,0,,
2023,5105259,60040794,51052332,1,2,3,0,0,0,,
2024,1600303,60003798,16012309,1,2,2,0,0,0,,
2024,2919207,60017720,29140179,1,2,3,0,0,0,,
2024,3148004,60019576,31060293,1,2,2,0,0,0,,
2023,2514701,60010733,25037798,1,2,3,0,0,0,,
2023,2513703,60011394,25038114,1,2,3,0,0,0,,
2023,2933307,60017934,29131763,1,2,3,0,0,0,,
2023,3149309,60021345,31037215,1,2,3,0,0,0,,
2023,4202073,60036605,42000536,1,2,3,0,0,0,,
2024,3132305,60019949,31182178,1,2,3,0,0,0,,
2024,4127700,60033910,41137734,1,2,3,0,0,0,,
2024,4309209,60037269,43033770,1,2,3,0,0,0,,
2024,5201405,60041635,52072989,1,2,3,0,0,0,,
2024,3106200,60018064,31180050,1,2,3,0,0,0,,
2024,3301900,60024119,33032548,1,2,3,0,0,0,,
2024,3509205,60028552,35240419,1,2,3,0,0,0,,
2024,5005806,60039806,50026966,1,2,3,0,0,0,,
2023,1508407,60003198,15102768,1,2,3,0,0,0,,
2023,2208007,60007133,22034809,1,2,3,0,0,0,,
2023,2409209,60010035,24022717,1,2,3,0,0,0,,
2023,2512002,60010834,25038135,1,2,3,0,0,0,,
2023,5105002,60040933,51024743,1,2,3,0,0,0,,
2024,1302603,60001340,13033583,1,2,3,0,0,0,,
2024,1500107,60002277,15000025,1,2,3,0,0,0,,
2024,2602803,60011657,26064108,1,2,3,0,0,0,,
2024,2609907,60011412,26062202,1,2,3,0,0,0,,
2024,3101607,60021025,31006650,1,2,3,0,0,0,,
2024,3125101,60021573,31171893,1,2,3,0,0,0,,
2024,3133907,60021986,31185371,1,2,3,0,0,0,,
2024,4122503,60031999,41132560,1,2,3,0,0,0,,
2024,5201108,60041003,52076316,1,2,3,0,0,0,,
2024,5208707,60041189,52003803,1,2,3,0,0,0,,
2024,5218805,60041455,52051041,1,2,3,1,0,0,,
2024,5221858,60042107,52067396,1,2,3,0,0,0,,
2023,2919553,60017743,29047984,1,2,3,0,0,0,,
2023,3170206,60021357,31148717,1,2,3,0,0,0,,
2023,4216206,60035306,42082477,1,2,3,0,0,0,,
2023,5219753,60042589,52078221,1,2,3,0,0,0,,
2024,1714203,60004166,17015638,1,2,3,0,0,0,,
2024,2103000,60005708,21038790,1,2,3,0,0,0,,
2024,2408102,60010189,24004710,1,2,3,0,0,0,,
2024,3505708,60028420,35234699,1,2,3,0,0,0,,
2024,3550308,60026558,35356612,1,2,2,0,0,0,,
2024,4106308,60032760,41138845,1,2,3,0,0,0,,
2024,4202305,60035753,42006253,1,2,3,0,0,0,,
2024,4305454,60036971,43095559,1,2,3,0,0,0,,
2023,1718204,60004019,17015959,1,2,3,0,0,0,,
2023,2611606,60012823,26054151,1,2,3,0,0,0,,
2023,2930709,60017964,29124230,1,2,3,0,0,0,,
2023,4312807,60038094,43031957,1,2,3,0,0,0,,
2024,3164001,60019711,31190934,1,2,3,0,0,0,,
2024,4209102,60035810,42047768,1,2,3,0,0,0,,
2023,2928307,60015654,29078045,1,2,3,0,0,0,,
2023,3304904,60025502,33138526,1,2,3,0,0,0,,
2023,5205497,60042804,52070334,1,2,3,0,0,0,,
2024,2504603,60011004,25034315,1,2,3,0,0,0,,
2024,2912707,60017085,29090305,1,2,3,0,0,0,,
2024,3170107,60020063,31185248,1,2,3,0,0,0,,
2024,3538006,60027204,35131948,1,2,3,0,0,0,,
2024,4201406,60035368,42002120,1,2,2,0,0,0,,
2024,5218003,60040924,52077084,1,2,3,0,0,0,,
2023,1100023,60000075,11000612,1,2,3,0,0,0,,
2023,2401107,60009667,24010020,1,2,3,0,0,0,,
2023,2927408,60016350,29107382,1,2,3,0,0,0,,
2023,2926202,60017983,29133758,1,2,3,0,0,0,,
2023,3301850,60024555,33046454,1,2,3,0,0,0,,
